Subject,Predicate,Object
alpha-amino acid,subclassof,amino acid
vivarium,subclassof,biomaterial containment unit
concentration of chlorophyll b in liquid water,subclassof,concentration of chlorophyll in liquid water
mega-earth,in_subset,envoastro
body proper,subclassof,organism subdivision
ornamentation,subclassof,surface feature shape
permanent hair dye,subclassof,manufactured product
iron ore,subclassof,ore
mpath_slim,subpropertyof,subset_property
weathering of plastic,subclassof,weathering
water,subclassof,inorganic hydroxy compound
marine iceberg,subclassof,iceberg
polynya,subclassof,sea surface layer
marine ultramafic hydrothermal vent biome,in_subset,nmdc water broad scale value set
young ice,in_subset,envopolar
composted animal manure,subclassof,animal manure
multi organ part structure,subclassof,multicellular anatomical structure
epithelial tube,subclassof,tube
metallophthalocyanines,subclassof,metallotetrapyrrole
intestine environment,subclassof,digestive tract environment
prostrate,subclassof,position
monsoon wind,subclassof,atmospheric wind
mountain,subclassof,mount
lixisol,in_subset,nmdc soil environmental medium value set
meristematic cell,in_subset,cl
non-lead solder,subclassof,solder
estuarine tidal riverine coastal lower water column,subclassof,estuarine coastal lower water column
atmospheric escape,in_subset,envoastro
decreased length,subclassof,length
temperate deciduous needleleaf forest,subclassof,temperate forest
meteoroid,subclassof,astronomical body
polar desert ecosystem,subclassof,desert ecosystem
closed animal house,subclassof,animal house
channel,in_subset,nmdc soil local scale value set
oil,subclassof,hydrocarbon-based environmental material
slab snow,subclassof,snow
flood plain,in_subset,nmdc water local scale value set
skyscraper,subclassof,building
dinucleotide,subclassof,nucleotide
chromium molecular entity,subclassof,chromium group molecular entity
neonatal unit facility,subclassof,hospital unit facility
zone of skin,subclassof,zone of organ
visible spectrum stellar radiation,in_subset,envoastro
environmental contaminant,subclassof,chemical role
lithosphere,subclassof,solid layer
ice pellet,in_subset,envopolar
epoxide,subclassof,cyclic ether
soil surface layer,in_subset,envonceas
dry dam,subclassof,dam
part of structure that is capable of,subpropertyof,functionally related to
volcanic cone,subclassof,volcanic feature
pressure,subclassof,physical quality
embryonic tissue,subclassof,tissue
sensory organ epithelium,subclassof,epithelium
hydrogen chloride,subclassof,gas molecular entity
liquid layer,subclassof,fluid layer
plant fruit as vegetable food product,subclassof,plant fruit food product
basic cation exchange capacity,subclassof,cation exchange capacity
decreased thickness,subclassof,thickness
shield volcano,subclassof,volcano
chloropicrin,subclassof,organochlorine compound
small freshwater lake biome,subclassof,small freshwater lake ecosystem
baseboard,subclassof,building part
sea ice field,subclassof,ice field
landspout,subclassof,tornado
olefin,subclassof,olefinic compound
tropical broadleaf forest,subclassof,tropical forest
snowfall,subclassof,hydrological precipitation process
mediterranean biome,subclassof,subtropical biome
spheroid,subclassof,convex 3-d shape
oscillatoriophycideae,subclassof,cyanophyceae
snow water equivalent,in_subset,envopolar
marine salt marsh biome,in_subset,nmdc plantassociated broad scale value set
vegetated area,in_subset,envopolar
concentration of praseodymium in snow,subclassof,concentration of
straw exterior wall,subclassof,exterior wall
merchant vessel,subclassof,transport boat
intestinal epithelium,subclassof,digestive tract epithelium
subtropical broadleaf forest biome,subclassof,subtropical broadleaf forest
nlcd2011,subpropertyof,subset_property
mandibulata,subclassof,arthropoda
sulfur oxoanion,subclassof,chalcogen oxoanion
cliff cleft,subclassof,surface landform
alluvial deposit,subclassof,rock
northwestern thorn scrub forests,part of,indo-malay ecoregion
nephrology unit facility,subclassof,hospital unit facility
decreased area,subclassof,decreased size
tropical dry broadleaf forest biome,subclassof,tropical rainforest biome
oxonium,subclassof,onium cation
tropical moist broadleaf forest,subclassof,tropical rainforest
sauria,subclassof,sauropsida
oncology unit facility,subclassof,hospital unit facility
mediterranean savanna biome,subclassof,mediterranean biome
river channel,subclassof,stream channel
subtropical grassland biome,subclassof,grassland biome
mesoderm blood island,subclassof,embryonic tissue
cave wall,subclassof,solid surface layer
acetamides,subclassof,carboxamide
tropical savanna biome,subclassof,savanna biome
ice ablation zone,subclassof,ice decumulation zone
subtropical dry broadleaf forest biome,subclassof,subtropical rainforest biome
straight-line wind,subclassof,atmospheric wind
lens placode,subclassof,non-neurogenic ectodermal placode
microbial community,subclassof,multi-species collection of microbes
concentration of dioxygen in liquid water,subclassof,concentration of
toilet fixture,subclassof,plumbing fixture
cake icing food product,subclassof,dessert food
metallic dust,subclassof,dust
normal depth,subclassof,normal size
bacterial cell culture,subclassof,microbial cell culture
isthmus,in_subset,envopolar
fungi-associated environment,subclassof,environmental system determined by an organism
fine respirable suspended particulate matter,subclassof,respirable suspended particulate matter
refractory astrogeological material,subclassof,environmental material
monoatomic polycation,subclassof,monoatomic cation
sea ice variability,in_subset,envomarine
chloride,subclassof,halide anion
emissions from petroleum combustion,subclassof,environmental material
marine observatory system,subclassof,observatory system
trunk connective tissue,subclassof,connective tissue
tertiary amine,subclassof,tertiary amino compound
tropical deciduous broadleaf forest,subclassof,tropical broadleaf forest
gibson desert ecoregion,part of,australasia ecoregion
concentration of silicic acid in sea water,subclassof,concentration of silicic acid in liquid water
wmo blizzard,subclassof,blizzard
soy ink,subclassof,colorant fluid
pork meat food product,subclassof,pig food product
galaxy,subclassof,astronomical object
chyme,subclassof,ingested food
village biome,subclassof,biome
heteropolycyclic compound,subclassof,polycyclic compound
fjord,in_subset,envopolar
orthoptera,subclassof,polyneoptera
choroid plexus,subclassof,vasculature of organ
savanna biome,in_subset,nmdc plantassociated broad scale value set
alpha-amino-acid anion,subclassof,amino-acid anion
clay loam,subclassof,loam
aquifer,in_subset,nmdc water local scale value set
eye primordium,subclassof,ecto-epithelium
temperate desert biome,subclassof,temperate desert ecosystem
frozen soil,in_subset,nmdc soil environmental medium value set
wet macroburst,subclassof,macroburst
bone of lower jaw,subclassof,bone of jaw
waste water,subclassof,contaminated water
gypsisol,subclassof,soil
savanna,subclassof,terrestrial ecosystem
food production environmental monitoring zone 4,subclassof,object aggregate
oceanic island,subclassof,island
marine hydrothermal plume,subclassof,hydroform
oasis,subclassof,vegetated area
phosphorus atom,subclassof,nonmetal atom
glacial transport process,in_subset,envopolar
increased fluid flow,subclassof,increased object quality
wall of heart,subclassof,mesoderm-derived structure
lake-effect snowfall,in_subset,envopolar
benzopyrrole,subclassof,organonitrogen heterocyclic compound
monocarboxylic acid anion,subclassof,carboxylic acid anion
base,subclassof,chemical role
talc dust,subclassof,dust
periglacial lake,in_subset,envopolar
cranial neural crest,subclassof,embryonic tissue
slope,in_subset,nmdc soil local scale value set
prepared chicken egg product,subclassof,chicken egg food product
collapse-driven seismic vibration,subclassof,seismic vibration process
bedrail,subclassof,pole
cloacal muscle,subclassof,digestive system element
estuarine open water surface layer,subclassof,surface of an astronomical body
kinetic energy,subclassof,energy
increased process quality,subclassof,process quality
reforestation,subclassof,planned revegetation
soft candy (us cfr),subclassof,candy (us cfr)
rill,subclassof,surface landform
"causally upstream of, positive effect",subpropertyof,"causally upstream of or within, positive effect"
transition element oxoanion,subclassof,oxoanion
material decumulation process,subclassof,environmental system process
algal food product,subclassof,food product by organism
hymenopteran habitation,subclassof,hymenopteran construction
biogeographic realm,subclassof,environmental system
oil paint thinner,subclassof,paint thinner
crowded,subclassof,position
estuarine tidal riverine coastal pycnocline,subclassof,estuarine coastal pycnocline
turbulent aquatic surface layer,subclassof,surface of an astronomical body
tectonic earthquake,subclassof,earthquake
dune soil,subclassof,upland soil
hydrogen chloride,subclassof,chlorine molecular entity
cyclic tetrapyrrole,subclassof,tetrapyrrole
determinate root nodule,subclassof,root nodule
immune system,disjointwith,excretory system
neural tube derived brain,subclassof,brain
pigeon pea (dried),subclassof,pulse food product
heart tube,subclassof,epithelial tube
adenyl nucleotide,subclassof,purine nucleotide
area of pastureland or hayfields,in_subset,nmdc soil local scale value set
medial moraine,in_subset,envopolar
plumbing drain,subclassof,artificial channel
fragmentation due to weathering,subclassof,fragmentation process
elemental halogen,subclassof,elemental molecular entity
apple cider (alcoholic),subclassof,fermented apple beverage
raceway pond,subclassof,pond
yard,subclassof,anthropogenic geographic feature
